,sparql_wikidata,paraphrased_question,question,best_translation,bert_q_NL,bert_NL_NL_gt,intra_cluster_distance
0, select distinct ?obj where { [Delta Air Lines] [house publication] ?obj . ?obj [instance of] [periodical] } ,What is Delta Air Line's periodical literature mouthpiece?,What periodical literature does Delta Air Lines use as a moutpiece?,What periodical publications serve as the official media for Delta Air Lines?,0.79970944,0.83891207,3.9080295399603826
1,SELECT ?answer WHERE { [Ranavalona I of Madagascar] [spouse] ?X . ?X [father] ?answer},What is the name of Ranavalona I's husband's child?,Who is the child of Ranavalona I's husband?,Who is the father of the spouse of Ranavalona I of Madagascar?,0.62403,0.8175783,2.174019419717126
2,ASK WHERE { [Jeff Bridges] [occupation] [Lane Chandler] . [Jeff Bridges] [occupation] [photographer] },Are Jeff Bridges and Lane Chandler both photographers?,Is it true Jeff_Bridges occupation Lane Chandler and photographer ?,What is the occupation that Jeff Bridges shares with both Lane Chandler and photographers?,0.41345882,0.81177235,4.30846029550779
3,SELECT ?answer WHERE { [Galinstan] [phase of matter] ?X . ?X [followed by] ?answer},What range are the papers at the Monique Genonceaux about?,What is the pre-requisite of phase matter of Galinstan?,What comes immediately after Galinstan in its phase of matter?,0.6249312,0.6767141,2.3497856328863387
4,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [cola] . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'p')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",which cola begins with the letter p,which cola starts with the letter p,What are the names of carbonated soft drinks that start with the letter 'P'?,0.9529192,0.700585,3.948363224760889
5,ASK WHERE { [Malin 1] [right ascension] ?obj filter(?obj < 15.1398) } ,Does malin 1 have a right ascension lower than 15.1398?,Is the right ascension of malin 1 less than 15.1398?,What is the right ascension of Malin 1 that is less than 15.1398?,0.9500512,0.90661967,2.1222099781854777
6, select distinct ?obj where { [Jerry Lee Lewis] [discography] ?obj . ?obj [instance of] [discography] } ,What is the total list of records discharged by Jerry Lee Lewis?,What is the complete list of records released by Jerry Lee Lewis?,What are the published sound recordings associated with Jerry Lee Lewis?,0.5958127,0.8743036,3.6923807238918287
7,SELECT ?answer WHERE { [1885 Wimbledon Championships – gentlemen's singles] [followed by] ?X . ?X [winner] ?answer},Who won the prize at the spin-off of the 1885 Wimbledon Championships- Gentlemen's Singles?,Who won the prize at the sequel of the 1885 Wimbledon Championships- Gentlemen's Singles?,Who won the tennis tournament that followed the 1885 Wimbledon Championships – gentlemen's singles?,0.23868753,0.9289318,2.13295048073114
8,ASK WHERE { [iPhone XS Max] [carbon footprint] ?obj filter(?obj = 106) } ,Does the iPhone X Max have a carbon footprint of 106?,Is it true that the carbon footprint of the iPhone X Max is 106?,"What is the carbon footprint of the iPhone XS Max, specifically quantified as 106?",0.9340916,0.87976444,3.87454815348161
9,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [female beauty pageant] . ?sbj [operating area] [all countries] . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'model')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",Tell me the female splendor festival that operates in all countries and contains the phrase model in it is name?,Tell me the female beauty pageant that operates in all countries and contains the word model in it's name?,"What female beauty pageants operate in all countries and have ""model"" in their name?",0.70969033,0.8722803,2.269282159734504
10,ASK WHERE { [Lindsey Vonn] [participant in] [FIS Alpine World Ski Championships 1999] . [Lindsey Vonn] [participant in] [FIS Alpine World Ski Championships 2019] },"In 1999 and 2019, was Lindsey Vonn in the FIS Alpine World Ski Championships?",Did Lindsey Vonn participate in the FIS Alpine World Ski Championships in 1999 and 2019?,Did Lindsey Vonn participate in the FIS Alpine World Ski Championships in both 1999 and 2019?,0.26519927,0.9444578,0.6819958087265485
11,"SELECT ?obj WHERE { [Angela Merkel] [position held] ?s . ?s [position held] ?obj . ?s [start time] ?x filter(contains(YEAR(?x),'1994')) }","On November 10, 1994, what was Angela Merkel's role?","When position did Angela Merkel hold on November 10, 1994?",What position did Angela Merkel hold that was also held by someone else starting in 1994?,0.95969355,0.77340037,2.954965818395106
12,"SELECT ?obj WHERE { [Spokane] [population] ?s . ?s [population] ?obj . ?s [point in time] ?x filter(contains(YEAR(?x),'2007')) }",What was the population of Spokane at the beginning of 2007?,"On 0-0-2007, what is the populaton of Spokane?",What was the population of Spokane in 2007?,0.9341997,0.9568195,0.0
13, select distinct ?sbj where { ?sbj [medical condition treated] [leprosy] . ?sbj [instance of] [essential medicine] } ,What basic pharmaceutical is required to treat leprosy?,What essential medicine is needed to treat leprosy?,Which essential medicines are used to treat leprosy?,0.84870327,0.8455978,1.3712778794944949
14,ASK WHERE { [Judi Dench] [award received] [Tony Award for Best Direction of a Play] . [Judi Dench] [award received] [Praemium Imperiale] },Was the Tony Award for best direction of the play Premium Imperiale given to Judi Densch?,Did Judi Densch receive a Tony Award for best direction of the play Premium Imperiale?,"What awards has Judi Dench received, specifically the Tony Award for Best Direction of a Play and the Praemium Imperiale?",0.13625345,0.8841544,1.5959185618246021
15,"SELECT ?value WHERE { [copper] [boiling point] ?s . ?s [boiling point] ?x filter(contains(?x,'4703.0')) . ?s [under pressure] ?value}",Copper as 4703.0 has a boiling boint of what?,What is the boiling point of pressure copper as 4703.0?,What is the pressure at which copper boils at a temperature of 4703.0?,0.9315598,0.81213325,2.6236109865022934
16,SELECT ?ans_1 ?ans_2 WHERE { [marathon] [record held] ?ans_1 . [marathon] [named after] ?ans_2 },why Marathon had this name and the current record is?,After what is Marathon named and what is the current record?,"What are the notable records achieved in marathons, and who are they named after?",0.58062655,0.7453544,1.5486364876045178
17,SELECT ?answer WHERE { [Sleepwalking] [followed by] ?X . ?X [performer] ?answer},Who Sleepwalking succeeded in playing Sleepwalking?,Who Sleepwalking succeeded in playing Sleepwalking?,"What performers are associated with the work that follows the single ""Sleepwalking""?",0.46690184,0.7128911,3.8423372152495463
18,"SELECT ?obj WHERE { [Clifton Chenier] [nominated for] ?s . ?s [nominated for] ?obj . ?s [point in time] ?x filter(contains(YEAR(?x),'1983')) }","In 1983, what nomination did Clifton Chenier receive?",What did Clifton Chenier get nominated for in 1983-0-0?,What awards was Clifton Chenier nominated for in the year 1983?,0.9660221,0.8650248,1.4314897535876894
19,select ?ent where { ?ent [instance of] [Class IB flammable liquid] . ?ent [lower flammable limit] ?obj } ORDER BY DESC(?obj)LIMIT 5 ,What flammable liquid has the least lower flammable limit in Class IB?,Which Class IB flammable liquid has the least lower flammable limit?,What are the top five Class IB flammable liquids based on their lower flammable limits?,0.8007022,0.89203167,0.8334133039225732
20,SELECT ?ans_1 ?ans_2 WHERE { [Mojito] [made from material] ?ans_1 . [Mojito] [approved by] ?ans_2 },What is the material used and accredited by means of Mojito?,What is the material used and approved by Mojito?,What materials are used to make a Mojito and who approves it?,0.64755034,0.835322,2.6936330150797443
21, select distinct ?obj where { [Korea] [history of topic] ?obj . ?obj [instance of] [history of a country or state] } ,"In this topic, give a summary of Korea's history",Could you summarize Korea's history of this topic?,What historical developments are associated with Korea as a country?,0.7685418,0.7415516,2.3293319085698463
22,SELECT ?answer WHERE { [Virgin of the Rocks] [depicts] ?answer . ?answer [place of birth] [Tzippori]},"""Which is {scene of} of {Virgin of the rocks}, which has {birth city} is {Tzippori} ?""","""Which is {landscape of} of {Virgin of the rocks}, which has {birth city} is {Tzippori} ?""",What is depicted by the Virgin of the Rocks that has Tzippori as its place of birth?,0.75899255,0.79299784,3.3259544589008954
23,ASK WHERE { [Kevin Costner] [owner of] [Fielders Stadium] },Is the Fielders Stadium owned by Kevin Costner?,Is Kevin Costner owner of Fielders Stadium?,Does Kevin Costner own Fielders Stadium?,0.7880563,0.94316363,2.1692392485554026
24,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj [instance of] [skill] . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",What could be a aptitude that begins with the letter s.,What is a skill that starts with the letter s.,What skills can be identified that start with the letter 's'?,0.92202187,0.84359705,3.373697929986175
25,SELECT (COUNT(?obj) AS ?value ) { [Captain America] [from narrative universe] ?obj },Give me the dimensions of Captain America,How many dimensions have a Captain America?,How many narrative universes feature Captain America?,0.9314542,0.76300645,3.840813436240971
26,"SELECT ?obj WHERE { [Danila Kozlovsky] [award received] ?s . ?s [award received] ?obj . ?s [point in time] ?x filter(contains(YEAR(?x),'2017')) }",What award did Danila Kozlovsky get in 2017?,What award did Danila Kozlovsky receive in 2017?,What awards did Danila Kozlovsky receive in 2017?,0.92711234,0.9827443,0.0
27,SELECT ?answer WHERE { [Euler-Lagrange equation] [discoverer or inventor] ?X . ?X [student] ?answer},Who is the understudy that coined the Euler-Lagrange equation?,Who is the student that coined the Euler-Lagrange equation?,Who are the notable students of the discoverer or inventor of the Euler-Lagrange equation?,0.5925653,0.92287385,0.0
28,ASK WHERE { [benzene] [minimal lethal dose] ?obj filter(?obj = 170000) } ,Is the negligible deadly dosage of the benzene rise to to 170000?,Is the minimal lethal dose of the benzene equal to 170000?,"What is the minimal lethal dose of benzene for which the concentration is 170,000?",0.56461847,0.88775665,2.333109281223642
29, select distinct ?obj where { [Ivan Pavlov] [student of] ?obj . ?obj [instance of] [human] } ,Who is the person Ivan Pavlov's student?,Who is the person that was a student of Ivan Pavlov?,Who is a student of Ivan Pavlov that is considered human?,0.5491308,0.8703167,3.8711590033024663
30,ASK WHERE { [Watara Supervision] [clock frequency] ?obj filter(?obj < 3.2) } ,is the clock speed of the Watara Supervision littler than 3.2?,is the clock speed of the Watara Supervision smaller than 3.2?,What are the clock frequencies of the Watara Supervision that are less than 3.2?,0.95851624,0.9314065,0.0
31, select distinct ?obj where { [African Union] [diplomatic relation] ?obj . ?obj [instance of] [sovereign state] } ,What country leads the African Union?,What country is the current leader of the African Union ?,What sovereign states have diplomatic relations with the African Union?,0.8081281,0.8480461,0.0
32,SELECT ?answer WHERE { [Mariposa Folk Festival 1974] [participant] ?X . ?X [employer] ?answer},The accused Mariposa Folk Festival in 1974 employed whom?,Who works for the accused Mariposa Folk Festival 1974?,Who employed the participants of the Mariposa Folk Festival in 1974?,-0.0067331586,0.901497,1.6766281753336747
