question,paraphrased_question,sparql_wikidata,wikidata_translated,llama3_response,eval_bert
Is it true that the carbon footprint of the iPhone X Max is 106?,Does the iPhone X Max have a carbon footprint of 106?,ASK WHERE { wd:Q56599233 wdt:P5991 ?obj filter(?obj = 106) } ,ASK WHERE { iPhone XS Max carbon footprint ?obj filter(?obj = 106) } ,Does the iPhone XS Max have a carbon footprint of 106?,0.9939645
Did Lindsey Vonn participate in the FIS Alpine World Ski Championships in 1999 and 2019?,"In 1999 and 2019, was Lindsey Vonn in the FIS Alpine World Ski Championships?",ASK WHERE { wd:Q10068 wdt:P1344 wd:Q1428251 . wd:Q10068 wdt:P1344 wd:Q15263420 },ASK WHERE { Lindsey Vonn participant in FIS Alpine World Ski Championships 1999 . Lindsey Vonn participant in FIS Alpine World Ski Championships 2019 },Did Lindsey Vonn participate in both the 1999 and 2019 FIS Alpine World Ski Championships?,0.9188178
What essential medicine is needed to treat leprosy?,What basic pharmaceutical is required to treat leprosy?, select distinct ?sbj where { ?sbj wdt:P2175 wd:Q36956 . ?sbj wdt:P31 wd:Q35456 } , select distinct ?sbj where { ?sbj medical condition treated leprosy . ?sbj instance of essential medicine } ,What is the medicine that is used to treat leprosy?,0.9178155
Did Judi Densch receive a Tony Award for best direction of the play Premium Imperiale?,Was the Tony Award for best direction of the play Premium Imperiale given to Judi Densch?,ASK WHERE { wd:Q28054 wdt:P166 wd:Q640374 . wd:Q28054 wdt:P166 wd:Q268670 },ASK WHERE { Judi Dench award received Tony Award for Best Direction of a Play . Judi Dench award received Praemium Imperiale },Has Judi Dench received both the Tony Award for Best Direction of a Play and the Praemium Imperiale?,0.88944227
Is Kevin Costner owner of Fielders Stadium?,Is the Fielders Stadium owned by Kevin Costner?,ASK WHERE { wd:Q11930 wdt:P1830 wd:Q5447154 },ASK WHERE { Kevin Costner owner of Fielders Stadium },Does Kevin Costner own Fielder's Stadium?,0.92140114
What is a skill that starts with the letter s.,What could be a aptitude that begins with the letter s.,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q205961 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of skill . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 's')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",What are the skills that start with the letter S?,0.8770808
Who is the student that coined the Euler-Lagrange equation?,Who is the understudy that coined the Euler-Lagrange equation?,SELECT ?answer WHERE { wd:Q875744 wdt:P61 ?X . ?X wdt:P802 ?answer},SELECT ?answer WHERE { Euler-Lagrange equation discoverer or inventor ?X . ?X student ?answer},Who was the student of the person who discovered or invented the Euler-Lagrange equation?,0.9293822
Is the minimal lethal dose of the benzene equal to 170000?,Is the negligible deadly dosage of the benzene rise to to 170000?,ASK WHERE { wd:Q2270 wdt:P2300 ?obj filter(?obj = 170000) } ,ASK WHERE { benzene minimal lethal dose ?obj filter(?obj = 170000) } ,"Is the minimal lethal dose of benzene exactly 170,000?",0.8743823
Who is the person that was a student of Ivan Pavlov?,Who is the person Ivan Pavlov's student?, select distinct ?obj where { wd:Q42985 wdt:P1066 ?obj . ?obj wdt:P31 wd:Q5 } , select distinct ?obj where { Ivan Pavlov student of ?obj . ?obj instance of human } ,Who was Ivan Pavlov's professor?,0.8976095
is the clock speed of the Watara Supervision smaller than 3.2?,is the clock speed of the Watara Supervision littler than 3.2?,ASK WHERE { wd:Q732683 wdt:P2149 ?obj filter(?obj < 3.2) } ,ASK WHERE { Watara Supervision clock frequency ?obj filter(?obj < 3.2) } ,Does Watara Supervision's clock frequency run slower than 3.2?,0.88104117
