NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,wikidata_translated,llama3_response,eval_manual,eval_llm,eval_bert,eval_bleu
What is the {periodical literature} for {mouthpiece} of {Delta Air Lines},19719,simple question right,65,What periodical literature does Delta Air Lines use as a moutpiece?, select distinct ?obj where { wd:Q188920 wdt:P2813 ?obj . ?obj wdt:P31 wd:Q1002697 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q188920> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2813> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q1002697> } , <S P ?O ; ?O instanceOf Type>,What is Delta Air Line's periodical literature mouthpiece?, select distinct ?obj where { Delta Air Lines house publication ?obj . ?obj instance of periodical } ,What is the name of the magazine or newspaper published by Delta Air Lines?,1.0,0,0.86786216,6.830096904817037e-155
What is {child of} of {husband} of {Ranavalona I} ?,15554,left-subgraph,8,Who is the child of Ranavalona I's husband?,SELECT ?answer WHERE { wd:Q169794 wdt:P26 ?X . ?X wdt:P22 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q169794> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P26>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P22> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,What is the name of Ranavalona I's husband's child?,SELECT ?answer WHERE { Ranavalona I of Madagascar spouse ?X . ?X father ?answer},Who was the father of the spouse of Ranavalona I of Madagascar?,0.0,0,0.81110704,6.223629500679345e-155
Did {Jeff_Bridges} {occupation} {Lane Chandler} and {photographer} ?,974,boolean double one_hop right subgraph,474,Is it true Jeff_Bridges occupation Lane Chandler and photographer ?,ASK WHERE { wd:Q174843 wdt:P106 wd:Q1804811 . wd:Q174843 wdt:P106 wd:Q33231 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q174843> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P106> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q1804811>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q174843> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P106> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q33231>. } ,Ask (ent-pred-obj1` . ent-pred-obj2),Are Jeff Bridges and Lane Chandler both photographers?,ASK WHERE { Jeff Bridges occupation Lane Chandler . Jeff Bridges occupation photographer },Is Lane Chandler an occupation or a profession of both Jeff Bridges?,0.0,0,0.7866048,6.887578243315168e-155
What is {prequel of} of {phase of matter} of {Galinstan} ?,15803,right-subgraph,33,What is the pre-requisite of phase matter of Galinstan?,SELECT ?answer WHERE { wd:Q675176 wdt:P515 ?X . ?X wdt:P156 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q675176> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P515>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P156> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,What range are the papers at the Monique Genonceaux about?,SELECT ?answer WHERE { Galinstan phase of matter ?X . ?X followed by ?answer},What phase of matter is followed by Galinstan?,1.0,0,0.6587984,1.496190280503045e-231
Give me {cola} that starts with {'p'},24488,string matching simple contains word,631,which cola starts with the letter p,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q134041 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'p')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q134041>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'p')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,which cola begins with the letter p,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of cola . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'p')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ",What are the cola drinks whose name starts with the letter P?,1.0,1,0.8054355,0.2241693350192229
Does the {right ascension} of the {Malin 1} {less than} {15.1398},18423,boolean with filter,441,Is the right ascension of malin 1 less than 15.1398?,ASK WHERE { wd:Q4180017 wdt:P6257 ?obj filter(?obj < 15.1398) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q4180017> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P6257>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj < 15.1398) },ASK ?sbj ?pred ?obj filter ?obj = num,Does malin 1 have a right ascension lower than 15.1398?,ASK WHERE { Malin 1 right ascension ?obj filter(?obj < 15.1398) } ,Is Malin 1's right ascension less than 15 hours and 8 minutes?,0.0,1,0.79902995,7.825799788115097e-155
What is the {discography} for {discography} of {Jerry Lee Lewis},21845,simple question right,2191,What is the complete list of records released by Jerry Lee Lewis?, select distinct ?obj where { wd:Q202729 wdt:P358 ?obj . ?obj wdt:P31 wd:Q273057 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q202729> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P358> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q273057> } , <S P ?O ; ?O instanceOf Type>,What is the total list of records discharged by Jerry Lee Lewis?, select distinct ?obj where { Jerry Lee Lewis discography ?obj . ?obj instance of discography } ,What is one of the albums from Jerry Lee Lewis' discography?,1.0,0,0.8308168,7.827769691893959e-155
What is {prizewinner} of {sequel is} of {1885 Wimbledon Championships – Gentlemen's Singles} ?,14923,left-subgraph,20,Who won the prize at the sequel of the 1885 Wimbledon Championships- Gentlemen's Singles?,SELECT ?answer WHERE { wd:Q1356316 wdt:P156 ?X . ?X wdt:P1346 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1356316> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P156>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1346> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Who won the prize at the spin-off of the 1885 Wimbledon Championships- Gentlemen's Singles?,SELECT ?answer WHERE { 1885 Wimbledon Championships – gentlemen's singles followed by ?X . ?X winner ?answer},Who won the men's singles title at the 1885 Wimbledon Championships?,1.0,1,0.8685359,4.794660593799901e-78
Does the {carbon footprint} of the {iPhone Xs Max} {equals} {106},18165,boolean with filter,183,Is it true that the carbon footprint of the iPhone X Max is 106?,ASK WHERE { wd:Q56599233 wdt:P5991 ?obj filter(?obj = 106) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q56599233> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P5991>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj = 106) },ASK ?sbj ?pred ?obj filter ?obj = num,Does the iPhone X Max have a carbon footprint of 106?,ASK WHERE { iPhone XS Max carbon footprint ?obj filter(?obj = 106) } ,Does the iPhone XS Max have a carbon footprint of 106?,1.0,0,0.9939645,0.7016879391277372
Give me {female beauty pageant} that {operating area} {all countries} and which contains the word {model} in their name,25156,string matching type + relation contains word,1095,Tell me the female beauty pageant that operates in all countries and contains the word model in it's name?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q58863414 . ?sbj wdt:P2541 wd:Q62900839 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'model')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q58863414>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2541> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q62900839>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'model')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,Tell me the female splendor festival that operates in all countries and contains the phrase model in it is name?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of female beauty pageant . ?sbj operating area all countries . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'model')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","What are the names of international beauty pageants that have \""model\"" in their title and operate globally?",1.0,1,0.85811967,1.1927381921713824e-231
