NNQT_question,uid,subgraph,template_index,question,sparql_wikidata,sparql_dbpedia18,template,paraphrased_question,wikidata_translated
What is the {periodical literature} for {mouthpiece} of {Delta Air Lines},19719,simple question right,65,What periodical literature does Delta Air Lines use as a moutpiece?, select distinct ?obj where { wd:Q188920 wdt:P2813 ?obj . ?obj wdt:P31 wd:Q1002697 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q188920> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2813> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q1002697> } , <S P ?O ; ?O instanceOf Type>,What is Delta Air Line's periodical literature mouthpiece?, select distinct ?obj where { Delta Air Lines house publication ?obj . ?obj instance of periodical } 
What is {child of} of {husband} of {Ranavalona I} ?,15554,left-subgraph,8,Who is the child of Ranavalona I's husband?,SELECT ?answer WHERE { wd:Q169794 wdt:P26 ?X . ?X wdt:P22 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q169794> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P26>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P22> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,What is the name of Ranavalona I's husband's child?,SELECT ?answer WHERE { Ranavalona I of Madagascar spouse ?X . ?X father ?answer}
Did {Jeff_Bridges} {occupation} {Lane Chandler} and {photographer} ?,974,boolean double one_hop right subgraph,474,Is it true Jeff_Bridges occupation Lane Chandler and photographer ?,ASK WHERE { wd:Q174843 wdt:P106 wd:Q1804811 . wd:Q174843 wdt:P106 wd:Q33231 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q174843> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P106> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q1804811>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q174843> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P106> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q33231>. } ,Ask (ent-pred-obj1` . ent-pred-obj2),Are Jeff Bridges and Lane Chandler both photographers?,ASK WHERE { Jeff Bridges occupation Lane Chandler . Jeff Bridges occupation photographer }
What is {prequel of} of {phase of matter} of {Galinstan} ?,15803,right-subgraph,33,What is the pre-requisite of phase matter of Galinstan?,SELECT ?answer WHERE { wd:Q675176 wdt:P515 ?X . ?X wdt:P156 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q675176> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P515>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P156> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },E REF xF . xF RFG ?G,What range are the papers at the Monique Genonceaux about?,SELECT ?answer WHERE { Galinstan phase of matter ?X . ?X followed by ?answer}
Give me {cola} that starts with {'p'},24488,string matching simple contains word,631,which cola starts with the letter p,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q134041 . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'p')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q134041>. ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'p')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; starts with character >,which cola begins with the letter p,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of cola . ?sbj rdfs:label ?sbj_label . FILTER(STRSTARTS(lcase(?sbj_label), 'p')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
Does the {right ascension} of the {Malin 1} {less than} {15.1398},18423,boolean with filter,441,Is the right ascension of malin 1 less than 15.1398?,ASK WHERE { wd:Q4180017 wdt:P6257 ?obj filter(?obj < 15.1398) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q4180017> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P6257>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj < 15.1398) },ASK ?sbj ?pred ?obj filter ?obj = num,Does malin 1 have a right ascension lower than 15.1398?,ASK WHERE { Malin 1 right ascension ?obj filter(?obj < 15.1398) } 
What is the {discography} for {discography} of {Jerry Lee Lewis},21845,simple question right,2191,What is the complete list of records released by Jerry Lee Lewis?, select distinct ?obj where { wd:Q202729 wdt:P358 ?obj . ?obj wdt:P31 wd:Q273057 } ,select distinct ?obj where { ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q202729> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P358> . ?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj . ?obj <http://www.wikidata.org/entity/P31> <http://wikidata.dbpedia.org/resource/Q273057> } , <S P ?O ; ?O instanceOf Type>,What is the total list of records discharged by Jerry Lee Lewis?, select distinct ?obj where { Jerry Lee Lewis discography ?obj . ?obj instance of discography } 
What is {prizewinner} of {sequel is} of {1885 Wimbledon Championships – Gentlemen's Singles} ?,14923,left-subgraph,20,Who won the prize at the sequel of the 1885 Wimbledon Championships- Gentlemen's Singles?,SELECT ?answer WHERE { wd:Q1356316 wdt:P156 ?X . ?X wdt:P1346 ?answer},SELECT ?answer WHERE { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q1356316> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P156>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?X . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?X. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1346> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?answer . },C RCD xD . xD RDE ?E,Who won the prize at the spin-off of the 1885 Wimbledon Championships- Gentlemen's Singles?,SELECT ?answer WHERE { 1885 Wimbledon Championships – gentlemen's singles followed by ?X . ?X winner ?answer}
Does the {carbon footprint} of the {iPhone Xs Max} {equals} {106},18165,boolean with filter,183,Is it true that the carbon footprint of the iPhone X Max is 106?,ASK WHERE { wd:Q56599233 wdt:P5991 ?obj filter(?obj = 106) } ,ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q56599233> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P5991>. ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj. filter(?obj = 106) },ASK ?sbj ?pred ?obj filter ?obj = num,Does the iPhone X Max have a carbon footprint of 106?,ASK WHERE { iPhone XS Max carbon footprint ?obj filter(?obj = 106) } 
Give me {female beauty pageant} that {operating area} {all countries} and which contains the word {model} in their name,25156,string matching type + relation contains word,1095,Tell me the female beauty pageant that operates in all countries and contains the word model in it's name?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj wdt:P31 wd:Q58863414 . ?sbj wdt:P2541 wd:Q62900839 . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'model')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 ","SELECT DISTINCT ?sbj ?sbj_label { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P31> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q58863414>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> ?sbj . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P2541> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q62900839>. ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'model')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25", <?S P O ; ?S instanceOf Type ; contains word >,Tell me the female splendor festival that operates in all countries and contains the phrase model in it is name?,"SELECT DISTINCT ?sbj ?sbj_label WHERE { ?sbj instance of female beauty pageant . ?sbj operating area all countries . ?sbj rdfs:label ?sbj_label . FILTER(CONTAINS(lcase(?sbj_label), 'model')) . FILTER (lang(?sbj_label) = 'en') } LIMIT 25 "
Did {Lindsey_Vonn} {participant of} {FIS Alpine World Ski Championships 1999} and {FIS Alpine World Ski Championships 2019} ?,519,boolean double one_hop right subgraph,19,Did Lindsey Vonn participate in the FIS Alpine World Ski Championships in 1999 and 2019?,ASK WHERE { wd:Q10068 wdt:P1344 wd:Q1428251 . wd:Q10068 wdt:P1344 wd:Q15263420 }, ASK { ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q10068> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1344> . ?statement1 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q1428251>. ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q10068> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P1344> . ?statement2 <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> <http://wikidata.dbpedia.org/resource/Q15263420>. } ,Ask (ent-pred-obj1` . ent-pred-obj2),"In 1999 and 2019, was Lindsey Vonn in the FIS Alpine World Ski Championships?",ASK WHERE { Lindsey Vonn participant in FIS Alpine World Ski Championships 1999 . Lindsey Vonn participant in FIS Alpine World Ski Championships 2019 }
What is {position held} of {Angela Merkel} that is {start time} is {1994-11-10} ?,3708,statement_property,153,"When position did Angela Merkel hold on November 10, 1994?","SELECT ?obj WHERE { wd:Q567 p:P39 ?s . ?s ps:P39 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1994')) }","select distinct ?obj  where {
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#subject> <http://wikidata.dbpedia.org/resource/Q567> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#predicate> <http://www.wikidata.org/entity/P39> .
?statement <http://www.w3.org/1999/02/22-rdf-syntax-ns#object> ?obj .
?statement <http://www.wikidata.org/entity/P580> <1994-11-10>
} 
",(E pred F) prop ?value,"On November 10, 1994, what was Angela Merkel's role?","SELECT ?obj WHERE { Angela Merkel p:P39 ?s . ?s ps:P39 ?obj . ?s pq:P580 ?x filter(contains(YEAR(?x),'1994')) }"
